nga, polity, time
Ghanaian Coast, GhAshnE, 1501, 1701
Ghanaian Coast, GhAshnL, 1702, 1895
Niger Inland Delta, MlJeJe1, -250, 49
Niger Inland Delta, MlJeJe2, 50, 399
Niger Inland Delta, MlJeJe3, 400, 899
Niger Inland Delta, MlJeJe4, 900, 999
Niger Inland Delta, MrWagdM, 1000, 1077
Niger Inland Delta, MrWagdL, 1100, 1202 
Niger Inland Delta, MlMali*, 1235, 1410
Niger Inland Delta, MlSong2, 1493, 1590
Niger Inland Delta, MaSaadi, 1591, 1618
Niger Inland Delta, MlSegou, 1640, 1711
Niger Inland Delta, MlBaman, 1712, 1818
Upper Egypt, EgBadar, -4400, -3801 
Upper Egypt, EgNaqa1, -3800, -3551
Upper Egypt, EgNaqa2, -3550, -3301
Upper Egypt, EgNaqa3, -3300, -3101
Upper Egypt, EgDyn1, -3100, -2901
Upper Egypt, EgDyn2, -2900, -2651
Upper Egypt, EgOldK1, -2650, -2351
Upper Egypt, EgOldK2, -2350, -2151
Upper Egypt, EgRegns, -2150, -2017
Upper Egypt, EgMidKg, -2016, -1721
Upper Egypt, EgThebH, -1720, -1567
Upper Egypt, EgNKThu, -1550, -1294
Upper Egypt, EgNKRam, -1293, -1071 
Upper Egypt, EgThebL, -1070, -761
Upper Egypt, SdKusht, -760, -656
Upper Egypt, EgSaite, -655, -526
Upper Egypt, IrAchae, -525, -405
Upper Egypt, EgIntOc, -404, -343
Upper Egypt, EgPtol1, -305, -218
Upper Egypt, EgPtol2, -217, -32
Upper Egypt, ItRomPr, -31, 283
Upper Egypt, TrRomDm, 284, 394
Upper Egypt, TrERom, 395, 632
Upper Egypt, SyCalUm, 661, 749
Upper Egypt, IqAbbs1, 750, 867
Upper Egypt, EgTulIk, 868, 969 
Upper Egypt, TnFatim, 970, 1170
Upper Egypt, EgAyyub, 1171, 1259
Upper Egypt, EgMamBh, 1260, 1347
Upper Egypt, EgMamCP, 1348, 1411
Upper Egypt, EgMamBu, 1412, 1516
Upper Egypt, TrOttm3, 1517, 1682
Upper Egypt, TrOttm4, 1683, 1798
Iceland, IsCommw, 930, 1262
Iceland, NorKing, 1263, 1380
Paris Basin, FrBeakr, -3200, -2201
Paris Basin, FrAtlBA, -2200, -1001
Paris Basin, FrHallA, -1000, -901
Paris Basin, FrHallB, -900, -701
Paris Basin, FrHallC, -700, -601
Paris Basin, FrHallD, -600, -475
Paris Basin, FrTeneA, -474, -325
Paris Basin, FrTeneB, -324, -175
Paris Basin, FrTeneC, -174, -27
Paris Basin, ItRomPr, -31, 283
Paris Basin, TrRomDm, 284, 473
Paris Basin, FrMervE, 481, 542
Paris Basin, FrMervM, 543, 686
Paris Basin, FrMervL, 687, 750
Paris Basin, FrCarlE, 752, 839
Paris Basin, FrCarlL, 840, 986
Paris Basin, FrCaptE, 987, 1149
Paris Basin, FrCaptL, 1150, 1327
Paris Basin, FrValoE, 1328, 1449
Paris Basin, FrValoL, 1450, 1588
Paris Basin, FrBurbE, 1589, 1659
Paris Basin, FrBurbL, 1660, 1788
Latium, ItLatCA, -3600, -1801
Latium, ItLatBA, -1800, -1001
Latium, ItLatIA, -1000, -717
Latium, ItRomRg, -716, -610
Latium, ItRomER, -509, -265
Latium, ItRomMR, -264. -134
Latium, ItRomLR, -133, -29
